1KB,0.000204,64000
5KB,0.000066,64000
10KB,0.000084,64000
100KB,0.000107,64000
1MB,0.000400,64000
10MB,0.005461,64000
100MB,0.049191,64000
1KB,0.000174,32000
5KB,0.000139,32000
10KB,0.000148,32000
100KB,0.000270,32000
1MB,0.001405,32000
10MB,0.012525,32000
100MB,0.076239,32000
1KB,0.000162,16000
5KB,0.000056,16000
10KB,0.000061,16000
100KB,0.000277,16000
1MB,0.002063,16000
10MB,0.015511,16000
100MB,0.119801,16000
1KB,0.000174,8000
5KB,0.000154,8000
10KB,0.000188,8000
100KB,0.000549,8000
1MB,0.004484,8000
10MB,0.042818,8000
100MB,0.252438,8000
1KB,0.000180,4000
5KB,0.000180,4000
10KB,0.000229,4000
100KB,0.000958,4000
1MB,0.007825,4000
10MB,0.060027,4000
100MB,0.549493,4000
1KB,0.000191,2000
5KB,0.000214,2000
10KB,0.000293,2000
100KB,0.001881,2000
1MB,0.012595,2000
10MB,0.128761,2000
100MB,0.831129,2000
1KB,0.000202,1000
5KB,0.000278,1000
10KB,0.000436,1000
100KB,0.002901,1000
1MB,0.027842,1000
10MB,0.176122,1000
100MB,1.590331,1000
1KB,0.000190,500
5KB,0.000424,500
10KB,0.000658,500
100KB,0.005850,500
1MB,0.043133,500
10MB,0.300198,500
100MB,3.250097,500
1KB,0.000311,100
5KB,0.000838,100
10KB,0.001446,100
100KB,0.014722,100
1MB,0.160724,100
10MB,1.636900,100
100MB,14.932956,100
1KB,0.000971,50
5KB,0.003032,50
10KB,0.005942,50
100KB,0.038725,50
1MB,0.313353,50
10MB,2.518981,50
100MB,27.661957,50
