1KB,0.000637,64000
5KB,0.000345,64000
10KB,0.000159,64000
100KB,0.000747,64000
1MB,0.003680,64000
10MB,0.010651,64000
100MB,0.063218,64000
1KB,0.000169,32000
5KB,0.000135,32000
10KB,0.000108,32000
100KB,0.000622,32000
1MB,0.001429,32000
10MB,0.013944,32000
100MB,0.082026,32000
1KB,0.000289,16000
5KB,0.000110,16000
10KB,0.000087,16000
100KB,0.000227,16000
1MB,0.001315,16000
10MB,0.010945,16000
100MB,0.093856,16000
1KB,0.000174,8000
5KB,0.000099,8000
10KB,0.000178,8000
100KB,0.000406,8000
1MB,0.001797,8000
10MB,0.019945,8000
100MB,0.209585,8000
1KB,0.000144,4000
5KB,0.000087,4000
10KB,0.000166,4000
100KB,0.000406,4000
1MB,0.002907,4000
10MB,0.023086,4000
100MB,0.241235,4000
1KB,0.000666,2000
5KB,0.000352,2000
10KB,0.000530,2000
100KB,0.002501,2000
1MB,0.015988,2000
10MB,0.050711,2000
100MB,0.510253,2000
1KB,0.000123,1000
5KB,0.000114,1000
10KB,0.000145,1000
100KB,0.000999,1000
1MB,0.010228,1000
10MB,0.077220,1000
100MB,0.734790,1000
1KB,0.000417,500
5KB,0.000514,500
10KB,0.001031,500
100KB,0.007150,500
1MB,0.024325,500
10MB,0.156875,500
100MB,1.480968,500
1KB,0.000246,100
5KB,0.000421,100
10KB,0.000767,100
100KB,0.007026,100
1MB,0.066153,100
10MB,0.626089,100
100MB,6.330613,100
1KB,0.001176,50
5KB,0.003001,50
10KB,0.005928,50
100KB,0.052372,50
1MB,0.167354,50
10MB,1.259761,50
100MB,12.444536,50
