1KB,0.000078,64000
5KB,0.000056,64000
10KB,0.000052,64000
100KB,0.000108,64000
1MB,0.000655,64000
10MB,0.007160,64000
100MB,0.063733,64000
1KB,0.000075,32000
5KB,0.000059,32000
10KB,0.000051,32000
100KB,0.000233,32000
1MB,0.001200,32000
10MB,0.007246,32000
100MB,0.075122,32000
1KB,0.000101,16000
5KB,0.000053,16000
10KB,0.000052,16000
100KB,0.000194,16000
1MB,0.001440,16000
10MB,0.013475,16000
100MB,0.143855,16000
1KB,0.000257,8000
5KB,0.000195,8000
10KB,0.000313,8000
100KB,0.001348,8000
1MB,0.013590,8000
10MB,0.038591,8000
100MB,0.284050,8000
1KB,0.000086,4000
5KB,0.000111,4000
10KB,0.000104,4000
100KB,0.000645,4000
1MB,0.005492,4000
10MB,0.059294,4000
100MB,0.548949,4000
1KB,0.000074,2000
5KB,0.000118,2000
10KB,0.000154,2000
100KB,0.001116,2000
1MB,0.012347,2000
10MB,0.108057,2000
100MB,1.079800,2000
1KB,0.000089,1000
5KB,0.000156,1000
10KB,0.000306,1000
100KB,0.004182,1000
1MB,0.030638,1000
10MB,0.312320,1000
100MB,3.033913,1000
1KB,0.000154,500
5KB,0.000207,500
10KB,0.000633,500
100KB,0.009017,500
1MB,0.075339,500
10MB,0.613868,500
100MB,6.013780,500
1KB,0.000391,100
5KB,0.001294,100
10KB,0.004213,100
100KB,0.054330,100
1MB,0.305487,100
10MB,2.996707,100
100MB,29.852867,100
1KB,0.002617,50
5KB,0.009368,50
10KB,0.012457,50
100KB,0.060237,50
1MB,0.527064,50
10MB,5.857384,50
100MB,55.738522,50
