1KB,0.000211,64000
5KB,0.000138,64000
10KB,0.000104,64000
100KB,0.000170,64000
1MB,0.001289,64000
10MB,0.003299,64000
100MB,0.027533,64000
1KB,0.000238,32000
5KB,0.000156,32000
10KB,0.000146,32000
100KB,0.000229,32000
1MB,0.001047,32000
10MB,0.004372,32000
100MB,0.040288,32000
1KB,0.000218,16000
5KB,0.000127,16000
10KB,0.000112,16000
100KB,0.000274,16000
1MB,0.000632,16000
10MB,0.011220,16000
100MB,0.055304,16000
1KB,0.000293,8000
5KB,0.000164,8000
10KB,0.000197,8000
100KB,0.000305,8000
1MB,0.001387,8000
10MB,0.013236,8000
100MB,0.075467,8000
1KB,0.000191,4000
5KB,0.000239,4000
10KB,0.000223,4000
100KB,0.000351,4000
1MB,0.002326,4000
10MB,0.017805,4000
100MB,0.098115,4000
1KB,0.000270,2000
5KB,0.000266,2000
10KB,0.000209,2000
100KB,0.000440,2000
1MB,0.001995,2000
10MB,0.027979,2000
100MB,0.148324,2000
1KB,0.000225,1000
5KB,0.000148,1000
10KB,0.000147,1000
100KB,0.000448,1000
1MB,0.002906,1000
10MB,0.026321,1000
100MB,0.214462,1000
1KB,0.000284,500
5KB,0.000149,500
10KB,0.000164,500
100KB,0.000595,500
1MB,0.005273,500
10MB,0.052692,500
100MB,0.425039,500
1KB,0.000427,100
5KB,0.000482,100
10KB,0.000701,100
100KB,0.005316,100
1MB,0.046876,100
10MB,0.211694,100
100MB,1.977646,100
1KB,0.000432,50
5KB,0.000708,50
10KB,0.001198,50
100KB,0.010484,50
1MB,0.072127,50
10MB,0.391775,50
100MB,3.951644,50
