1KB,0.000185,64000
5KB,0.000090,64000
10KB,0.000164,64000
100KB,0.000172,64000
1MB,0.000950,64000
10MB,0.007964,64000
100MB,0.027250,64000
1KB,0.000193,32000
5KB,0.000176,32000
10KB,0.000146,32000
100KB,0.000257,32000
1MB,0.001224,32000
10MB,0.005643,32000
100MB,0.034117,32000
1KB,0.000065,16000
5KB,0.000092,16000
10KB,0.000071,16000
100KB,0.000098,16000
1MB,0.000649,16000
10MB,0.004440,16000
100MB,0.038081,16000
1KB,0.000174,8000
5KB,0.000124,8000
10KB,0.000141,8000
100KB,0.000264,8000
1MB,0.001402,8000
10MB,0.010375,8000
100MB,0.078061,8000
1KB,0.000100,4000
5KB,0.000091,4000
10KB,0.000122,4000
100KB,0.000227,4000
1MB,0.001936,4000
10MB,0.020192,4000
100MB,0.128380,4000
1KB,0.000175,2000
5KB,0.000139,2000
10KB,0.000160,2000
100KB,0.000616,2000
1MB,0.005229,2000
10MB,0.035249,2000
100MB,0.206049,2000
1KB,0.000146,1000
5KB,0.000111,1000
10KB,0.000115,1000
100KB,0.000334,1000
1MB,0.004148,1000
10MB,0.042633,1000
100MB,0.343448,1000
1KB,0.000174,500
5KB,0.000170,500
10KB,0.000187,500
100KB,0.001650,500
1MB,0.013161,500
10MB,0.057808,500
100MB,0.636456,500
1KB,0.000180,100
5KB,0.000482,100
10KB,0.001067,100
100KB,0.006729,100
1MB,0.050193,100
10MB,0.307279,100
100MB,3.339751,100
1KB,0.000189,50
5KB,0.000879,50
10KB,0.000969,50
100KB,0.010064,50
1MB,0.077290,50
10MB,0.650840,50
100MB,6.418954,50
